symbol,companyName,exchange,marketCap,price,ceo,enterpriseValue
NVDA,NVIDIA Corporation,NASDAQ,5085821016896.0,209.25,Jen-Hsun Huang,4532773880000.0
GOOGL,Alphabet Inc.,NASDAQ,4233379446628.0,349.94,Sundar Pichai,3820891000000.0
GOOG,Alphabet Inc.,NASDAQ,4201409150923.001,347.31,Sundar Pichai,3820891000000.0
AAPL,Apple Inc.,NASDAQ,3966403593800.0,270.17,Timothy D. Cook,3895186810000.0
MSFT,Microsoft Corporation,NASDAQ,3151882909800.0,424.46,Satya Nadella,3779190530000.0
AMZN,"Amazon.com, Inc.",NASDAQ,2828798393209.0,263.04,Andrew R. Jassy,2525794920000.0
AVGO,Broadcom Inc.,NASDAQ,1919671951500.0,405.45,Hock E. Tan,1757293600000.0
META,"Meta Platforms, Inc.",NASDAQ,1692600817842.0,669.12,Mark Elliot Zuckerberg,1712110890000.0
TSLA,"Tesla, Inc.",NASDAQ,1400132416000.0,372.8,Elon R. Musk,1442210000000.0
USB-PA,U.S. Bancorp PERP PFD SER A,NYSE,1313384452470.0,782.27,Andrew J. Cecere,
BRK-B,Berkshire Hathaway Inc.,NYSE,1025613730161.0,475.51,Gregory Edward Abel,1171461437750.0
BRK-A,Berkshire Hathaway Inc.,NYSE,1025575936924.0,713083.0,Gregory Edward Abel,
WMT,Walmart Inc.,NASDAQ,1020546924000.0,128.01,John R. Furner,1007462620000.0
JPM,JPMorgan Chase & Co.,NYSE,834056527500.0,309.25,James Dimon,1497614914000.0
LLY,Eli Lilly and Company,NYSE,804239380990.0,851.21,David A. Ricks,1000404789360.0
JPM-PC,JPMorgan Chase & Co.,NYSE,798570287647.0,25.3,James Dimon,
JPM-PD,JPMorgan Chase & Co.,NYSE,795023465894.0,24.7,James Dimon,1497614914000.0
V,Visa Inc.,NYSE,645921837674.0,334.86,Ryan McInerney,667976960000.0
XOM,Exxon Mobil Corporation,NYSE,642895135200.0,154.67,Darren W. Woods,554048540000.0
MU,"Micron Technology, Inc.",NASDAQ,584682895800.0,518.46,Sanjay Mehrotra,141788000000.0
AMD,"Advanced Micro Devices, Inc.",NASDAQ,549627790182.0,337.11,Lisa T. Su,348076760000.0
JNJ,Johnson & Johnson,NYSE,547281467000.0,227.35,Joaquin Duato,532304216000.0
INTC,Intel Corporation,NASDAQ,475740697500.0,94.75,Lip-Bu Tan,208107200000.0
ORCL,Oracle Corporation,NYSE,471211376640.0,163.84,Michael D. Sicilia,554981170000.0
MA,Mastercard Incorporated,NYSE,464941999680.0,525.23,Michael Miebach,520513360000.0
BAC-PL,Bank of America Corporation,NYSE,455079962165.0,1227.25,Brian Thomas Moynihan,539128500000.0
COST,Costco Wholesale Corporation,NASDAQ,443062941510.0,998.67,Ron Vachris,412831930200.0
NFLX,"Netflix, Inc.",NASDAQ,387898896000.0,92.12,Theodore A. Sarandos,401960915960.0
CVX,Chevron Corporation,NYSE,383533911900.0,192.21,Michael K. Wirth,322082090000.0
BAC,Bank of America Corporation,NYSE,379502838400.0,52.88,Brian Thomas Moynihan,539128500000.0
CAT,Caterpillar Inc.,NYSE,376906003287.0,810.05,Joseph E. Creed,300593855000.0
ABBV,AbbVie Inc.,NYSE,361446106000.0,204.35,Robert A. Michael,470640768080.0
CSCO,"Cisco Systems, Inc.",NASDAQ,353791920309.0,89.57,Charles H. Robbins,292858440000.0
BAC-PB,Bank of America Corporation,NYSE,352977212203.0,25.27,Brian Thomas Moynihan,
BAC-PK,Bank of America Corporation,NYSE,352876688401.0,24.93,Brian Thomas Moynihan,
PG,The Procter & Gamble Company,NYSE,342261315612.0,146.47,Shailesh G. Jejurikar,416942008000.0
KO,The Coca-Cola Company,NYSE,339468310500.0,78.87,Henrique Braun,336044730000.0
UNH,UnitedHealth Group Incorporated,NYSE,336511800240.0,370.74,Stephen J. Hemsley,354424100000.0
BML-PL,Bank of America Corporation,NYSE,330079120603.0,19.48,Brian Thomas Moynihan,
BML-PJ,Bank of America Corporation,NYSE,323388913107.0,19.88,Brian Thomas Moynihan,
BML-PG,Bank of America Corporation,NYSE,322949858474.0,19.29,Brian Thomas Moynihan,
BAC-PE,Bank of America Corporation,NYSE,322744941211.0,19.49,Brian Thomas Moynihan,539128500000.0
BML-PH,Bank of America Corporation,NYSE,322147377597.0,19.15,Brian Thomas Moynihan,539128500000.0
HD,"The Home Depot, Inc.",NYSE,321527688279.0,322.81,Edward Decker,439434160000.0
PLTR,Palantir Technologies Inc.,NASDAQ,316154115900.0,137.97,Alexander C. Karp,420004075000.0
LRCX,Lam Research Corporation,NASDAQ,311079287500.0,248.75,Timothy Archer,123554967340.0
AMAT,"Applied Materials, Inc.",NASDAQ,303627249900.0,382.59,Gary E. Dickerson,185798320000.0
MS,Morgan Stanley,NYSE,297041025573.0,187.07,Edward N. Pick,642764630000.0
GE,GE Aerospace,NYSE,296282332508.0,283.57,H. Lawrence Culp Jr.,336770010000.0
GEV,GE Vernova Inc.,NYSE,285678919200.0,1063.11,Scott L. Strazik,168923040000.0
MRK,"Merck & Co., Inc.",NYSE,274206077600.0,111.02,Robert Davis,299899818680.0
GS,"The Goldman Sachs Group, Inc.",NYSE,268739438013.0,905.6,David Solomon,720138300000.0
PM,Philip Morris International Inc.,NYSE,253593109833.0,162.71,Jacek Olczak,293545400000.0
WFC,Wells Fargo & Company,NYSE,249805001121.0,81.52,Charles W. Scharf,547804120000.0
TXN,Texas Instruments Incorporated,NASDAQ,245015237460.0,269.22,Haviv Ilan,169868410000.0
WFC-PL,Wells Fargo & Company,NYSE,244142887610.0,1195.01,Charles W. Scharf,547804120000.0
KLAC,KLA Corporation,NASDAQ,238636072750.0,1816.21,Richard Wallace,123169666200.0
RTX,RTX Corporation,NYSE,232692837200.0,172.79,Christopher T. Calio,278083760000.0
C,Citigroup Inc.,NYSE,223300581966.0,127.65,Jane Nind Fraser,578634807000.0
TMUS,"T-Mobile US, Inc.",NASDAQ,218355596200.0,198.17,Srinivasan Gopalan,345696871360.0
AXP,American Express Company,NYSE,215369518469.0,315.64,Stephen Joseph Squeri,267166250000.0
IBM,International Business Machines Corporation,NYSE,213447883500.0,227.1,Arvind Krishna,329669583000.0
ANET,"Arista Networks, Inc.",NYSE,212396701139.0,168.68,Jayshree V. Ullal,162871840000.0
PEP,"PepsiCo, Inc.",NASDAQ,212272257796.0,155.29,Ramon Luis Laguarta,237338145200.0
MCD,McDonald's Corporation,NYSE,206196879200.0,290.08,Christopher J. Kempczinski,272076442000.0
GS-PD,"The Goldman Sachs Group, Inc.",NYSE,201591508620.0,18.94,David Solomon,720138300000.0
GS-PA,"The Goldman Sachs Group, Inc.",NYSE,198031225333.0,19.175,David Solomon,
VZ,Verizon Communications Inc.,NYSE,196586064800.0,46.61,Daniel H. Schulman,353670980000.0
NEE,"NextEra Energy, Inc.",NYSE,196376467800.0,94.17,John W. Ketchum,260511920000.0
WFC-PY,Wells Fargo & Company,NYSE,194335575092.0,23.8,Charles W. Scharf,
ADI,"Analog Devices, Inc.",NASDAQ,190062760362.0,389.31,Vincent T. Roche,121914627530.0
APH,Amphenol Corporation,NYSE,182422823400.0,148.38,Richard Adam Norwitt,168998947999.0
AMGN,Amgen Inc.,NASDAQ,182215655504.0,338.02,Robert A. Bradway,221567780000.0
DIS,The Walt Disney Company,NYSE,179454976000.0,101.3,Josh D'Amaro,243881880000.0
T,AT&T Inc.,NYSE,179058721800.0,25.77,John T. Stankey,333829960000.0
BA,The Boeing Company,NYSE,176666361220.0,224.11,Robert K. Ortberg,209022576000.0
TJX,"The TJX Companies, Inc.",NYSE,173310592650.0,156.07,Ernie L. Herrman,175795250000.0
TMO,Thermo Fisher Scientific Inc.,NYSE,173272007460.0,466.26,Marc N. Casper,248871200000.0
CRM,"Salesforce, Inc.",NYSE,172157126548.0,181.22,Marc R. Benioff,211524500000.0
C-PN,Citigroup Capital XIII TR PFD SECS,NYSE,171785346381.0,29.39,Jane Nind Fraser,578634807000.0
QCOM,QUALCOMM Incorporated,NASDAQ,166615039968.0,156.0,Cristiano Renno Amon,189698800000.0
BLK,"BlackRock, Inc.",NYSE,161483273700.0,1039.38,Laurence Douglas Fink,169537734000.0
ISRG,"Intuitive Surgical, Inc.",NASDAQ,160729794290.0,453.83,David J. Rosa,199068684000.0
GILD,"Gilead Sciences, Inc.",NASDAQ,159918784800.0,128.84,Daniel O'Day,169716560000.0
SCHW,The Charles Schwab Corporation,NYSE,159731508451.0,91.16,Richard Andrew Wurster,161961520000.0
ABT,Abbott Laboratories,NYSE,158789470621.0,91.38,Robert Ford,225426630000.0
BAC-PM,Bank of America Corporation,NYSE,157528126000.0,21.95,Brian Thomas Moynihan,
UNP,Union Pacific Corporation,NYSE,157203328140.0,264.78,Vincenzo James Vena,167596100000.0
SNDK,Sandisk Corporation,NASDAQ,157078428284.0,1064.21,David V. Goeckeler,7397750000.0
COP,ConocoPhillips,NYSE,156317902508.0,128.25,Ryan Lance,134150651620.0
UBER,"Uber Technologies, Inc.",NYSE,153267896882.0,74.47,Dara Khosrowshahi,176120022630.0
DE,Deere & Company,NYSE,151265480066.0,560.02,John C. May,180799546000.0
PFE,Pfizer Inc.,NYSE,149433115509.0,26.27,Albert Bourla,207774699100.0
APP,AppLovin Corporation,NASDAQ,149108179756.0,443.43,Adam Arash Foroughi,229335058420.0
WELL,Welltower Inc.,NYSE,148705746000.0,212.25,Shankh S. Mitra,139895871790.0
BAC-PN,Bank of America Corporation,NYSE,146906639600.0,20.47,Brian Thomas Moynihan,
BX,Blackstone Inc.,NYSE,143923488722.0,119.81,Stephen Allen Schwarzman,195251125587.0
T-PA,AT&T Inc.,NYSE,141116700158.0,19.82,John T. Stankey,
WDC,Western Digital Corporation,NASDAQ,139941324880.0,412.76,Tiang Yew Tan,24928630000.0
SCCO,Southern Copper Corporation,NYSE,139134199533.0,168.43,Raul Jacob Ruisanchez,123365454000.0
BAC-PS,Bank of America Corporation,NYSE,139084058400.0,19.38,Brian Thomas Moynihan,
DELL,Dell Technologies Inc.,NYSE,138834365288.0,205.68,Michael Saul Dell,95813243600.0
MRVL,"Marvell Technology, Inc.",NASDAQ,136913889060.0,156.57,Matthew J. Murphy,69781920000.0
BKNG,Booking Holdings Inc.,NASDAQ,135386564985.0,173.98,Glenn D. Fogel,175878573000.0
HON,Honeywell International Inc.,NASDAQ,133257250926.0,210.3,Vimal Kapur,146755510000.0
IBKR,"Interactive Brokers Group, Inc.",NASDAQ,133184350951.0,77.05,Milan Galik,106158491165.0
T-PC,AT&T Inc.,NYSE,132430404790.0,18.6,John T. Stankey,
TBB,AT&T Inc. 5.35% GLB NTS 66,NYSE,131759675195.0,21.46,,333829960000.0
LOW,"Lowe's Companies, Inc.",NYSE,130780311130.0,233.51,Marvin R. Ellison,155491540000.0
GLW,Corning Incorporated,NYSE,130453453960.0,151.864,Wendell Weeks,83998600000.0
PLD,"Prologis, Inc.",NYSE,129412262442.0,138.82,Daniel Stephen Letter,153688512386.0
SPGI,S&P Global Inc.,NYSE,128224240000.0,433.19,Martina L. Cheung,171740432000.0
DHR,Danaher Corporation,NYSE,126549388108.0,178.8,Rainer Blair,175718116000.0
BAC-PO,Bank of America Corporation,NYSE,125807200400.0,17.53,Brian Thomas Moynihan,539128500000.0
BAC-PQ,Bank of America Corporation,NYSE,123869496800.0,17.26,Brian Thomas Moynihan,539128500000.0
PANW,"Palo Alto Networks, Inc.",NASDAQ,123721565759.0,181.54,Nikesh Arora,113079600000.0
SYK,Stryker Corporation,NYSE,120689747920.0,315.13,Kevin A. Lobo,145179834000.0
SBUX,Starbucks Corporation,NASDAQ,120196150000.0,105.5,Brian R. Niccol,121004172000.0
BAC-PP,Bank of America Corporation,NYSE,119850556000.0,16.7,Brian Thomas Moynihan,
PH,Parker-Hannifin Corporation,NYSE,119590161228.0,947.5,Jennifer A. Parmentier,98786701000.0
WFC-PC,Wells Fargo & Company,NYSE,118710592469.0,17.53,Charles W. Scharf,547804120000.0
COF,Capital One Financial Corporation,NYSE,118139692840.0,190.84,Richard D. Fairbank,124610052000.0
VRT,Vertiv Holdings Co,NYSE,117606437283.0,306.18,Giordano Albertazzi,63516190443.0
BMY,Bristol-Myers Squibb Company,NYSE,117583544853.0,57.59,Christopher S. Boerner,147021540000.0
LMT,Lockheed Martin Corporation,NYSE,117543632994.0,509.81,James D. Taiclet Jr.,129258403000.0
PGR,The Progressive Corporation,NYSE,117378675580.0,200.66,Susan Patricia Griffith,140284236000.0
NEM,Newmont Corporation,NYSE,114879352934.0,107.61,Natascha Viljoen,108496100000.0
CRWD,"CrowdStrike Holdings, Inc.",NASDAQ,114729901320.0,452.38,George R. Kurtz,107075110060.0
MO,"Altria Group, Inc.",NYSE,114023448510.0,68.2,William F. Gifford Jr.,117923820000.0
INTU,Intuit Inc.,NASDAQ,109940521551.0,395.08,Sasan K. Goodarzi,223591400000.0
VRTX,Vertex Pharmaceuticals Incorporated,NASDAQ,107655214241.0,423.24,Reshma Kewalramani,114718852000.0
CVS,CVS Health Corporation,NYSE,107526240000.0,83.9,J. David Joyner,185630120000.0
EQIX,"Equinix, Inc.",NASDAQ,107407880987.0,1089.07,Adaire Rita Fox-Martin,95993039280.0
SO,The Southern Company,NYSE,105425096000.0,93.52,Christopher C. Womack,160360600000.0
CME,CME Group Inc.,NASDAQ,104094976507.0,287.27,Terrence A. Duffy,97542379640.0
BNH,Brookfield Finance Inc. 4.625%,NYSE,103664165556.0,15.46,James Bruce Flatt,411169598760.0
BNJ,Brookfield Finance Inc. 4.50% P,NYSE,103321954390.0,14.9,Connor David Teskey,411169598760.0
MCK,McKesson Corporation,NYSE,100761855929.0,822.63,Brian S. Tyler,87437926000.0
DUK,Duke Energy Corporation,NYSE,98483319842.0,126.55,Harry K. Sideris,181696170000.0
ADBE,Adobe Inc.,NASDAQ,98450994487.0,243.57,Shantanu Narayen,137592380000.0
HCA,"HCA Healthcare, Inc.",NYSE,97203329820.0,434.78,Samuel N. Hazen,156867270600.0
DUK-PA,Duke Energy Corporation,NYSE,96865706070.0,24.8518,Harry K. Sideris,
CMCSA,Comcast Corporation,NASDAQ,95592837523.0,26.76,Brian L. Roberts,202770000000.0
HWM,Howmet Aerospace Inc.,NYSE,94830347249.0,236.52,John C. Plant,85136080000.0
PWR,"Quanta Services, Inc.",NYSE,94325654192.0,628.6,Earl C. Austin Jr.,64767634985.0
MAR,"Marriott International, Inc.",NASDAQ,93791280411.0,353.95,Anthony G. Capuano Jr.,100024440000.0
WM,"Waste Management, Inc.",NYSE,92892258195.0,230.31,James C. Fish Jr.,111183217000.0
CEG,Constellation Energy Corporation,NASDAQ,92750150790.0,297.0,Joseph Dominguez,115817510000.0
FDX,FedEx Corporation,NYSE,92720199314.0,388.59,Rajesh Subramaniam,84912300000.0
SNPS,"Synopsys, Inc.",NASDAQ,92183465640.0,481.22,Sassine Ghazi,84095552680.0
GD,General Dynamics Corporation,NYSE,91743618835.0,338.73,Phebe N. Novakovic,98320534000.0
NOW,"ServiceNow, Inc.",NYSE,91672969187.0,88.89,William R. McDermott,158335030000.0
CDNS,"Cadence Design Systems, Inc.",NASDAQ,91096555400.0,329.95,Anirudh Devgan,84292102140.0
BK,The Bank of New York Mellon Corporation,NYSE,90787354166.0,132.27,Robin Antony Vince,-15828081670.0
UPS,"United Parcel Service, Inc.",NYSE,90592120227.0,106.62,Carol Tome,110615310000.0
WMB,"The Williams Companies, Inc.",NYSE,89659871721.0,73.32,Chad J. Zamarin,102692310000.0
KKR,KKR & Co. Inc.,NYSE,88548834792.0,99.32,Joseph Y. Bae,168260476160.0
ICE,"Intercontinental Exchange, Inc.",NYSE,88470857890.0,156.19,Jeffrey C. Sprecher,111943986642.0
CMI,Cummins Inc.,NYSE,88280526750.0,638.95,Jennifer W. Rumsey,75660055000.0
PNC,"The PNC Financial Services Group, Inc.",NYSE,88221248883.0,218.71,William S. Demchak,99627620000.0
USB,U.S. Bancorp,NYSE,87344350000.0,56.17,Gunjan Kedia,114010800000.0
ADP,"Automatic Data Processing, Inc.",NASDAQ,86592696922.0,215.06,Maria Black,131267239999.0
CVNA,Carvana Co.,NYSE,86012431925.0,396.73,Ernest C. Garcia,89109187253.0
BSX,Boston Scientific Corporation,NYSE,84934910794.0,57.15,Michael F. Mahoney,151529140000.0
ABNB,"Airbnb, Inc.",NASDAQ,84099829812.0,140.28,Brian Chesky,78703360000.0
EPD,Enterprise Products Partners L.P.,NYSE,83854696894.0,38.79,A. James Teague,103828280000.0
SLB,SLB N.V.,NYSE,83613124699.0,55.7,Olivier Le Peuch,65728980000.0
AMT,American Tower Corporation,NYSE,83102482417.0,178.19,Steven O. Vondran,125856511403.0
CSX,CSX Corporation,NASDAQ,83021695200.0,44.68,Stephen F. Angel,86252000000.0
MRSH,"Marsh & McLennan Companies, Inc.",NYSE,82305039850.0,170.83,John Quinlan Doyle,109110240000.0
FCX,Freeport-McMoRan Inc.,NYSE,81805424000.0,56.92,Kathleen Lynne Quirk,81437970000.0
ELV,Elevance Health Inc.,NYSE,81789867179.0,376.63,Gail Koziara Boudreaux,101495990000.0
NOC,Northrop Grumman Corporation,NYSE,81301109530.0,572.41,Kathy J. Warden,97163135000.0
MCO,Moody's Corporation,NYSE,80381217000.0,460.11,Robert Scott Fauber,96460235000.0
SHW,The Sherwin-Williams Company,NYSE,78755283750.0,317.85,Heidi G. Petz,94167892000.0
MDLZ,"Mondelez International, Inc.",NASDAQ,78342190254.0,61.04,Dirk Van de Put,89934020000.0
CI,Cigna Corporation,NYSE,77073383520.0,292.32,David Michael Cordani,96983868040.0
ORLY,"O'Reilly Automotive, Inc.",NASDAQ,76880879540.0,91.69,Brad W. Beckham,85960467120.0
EMR,Emerson Electric Co.,NYSE,76787961120.0,136.56,Surendralal Lanca Karsanbhai,86043104000.0
ITW,Illinois Tool Works Inc.,NYSE,76566094000.0,265.67,Christopher A. O'Herlihy,80106160068.0
MNST,Monster Beverage Corporation,NASDAQ,75191194800.0,76.89,Hilton H. Schlosberg,72733139290.0
VLO,Valero Energy Corporation,NYSE,75145297882.0,251.3,R. Lane Riggs,56233110000.0
MMM,3M Company,NYSE,75037881840.0,143.87,William Brown,93242429839.0
MPWR,"Monolithic Power Systems, Inc.",NASDAQ,74995327120.0,1526.84,Michael R. Hsing,42461803600.0
NET,"Cloudflare, Inc.",NYSE,74609263131.0,211.97,Matthew Prince,71448016150.0
EOG,"EOG Resources, Inc.",NYSE,74528809920.0,139.12,Ezra Y. Yacob,61636647310.0
DASH,"DoorDash, Inc.",NASDAQ,73784941807.0,169.33,Tony Xu,96089698640.0
AEP,"American Electric Power Company, Inc.",NASDAQ,73076609720.0,134.44,William J. Fehrman,109807820240.0
ROST,"Ross Stores, Inc.",NASDAQ,72800981468.0,225.08,James G. Conroy,60935981670.0
ECL,Ecolab Inc.,NYSE,72472763106.0,256.61,Christophe Beck,83155016000.0
HLT,Hilton Worldwide Holdings Inc.,NYSE,71956342000.0,314.5,Christopher J. Nassetta,82490000000.0
MSI,"Motorola Solutions, Inc.",NYSE,71339575950.0,429.23,Gregory Q. Brown,72308784000.0
REGN,"Regeneron Pharmaceuticals, Inc.",NASDAQ,71314863080.0,686.36,Leonard S. Schleifer,80325402000.0
MPC,Marathon Petroleum Corporation,NYSE,71212319570.0,241.81,Maryann T. Mannen,80288150000.0
KMI,"Kinder Morgan, Inc.",NYSE,70838452103.0,31.84,Kimberly Allen Dang,93442250000.0
APO,"Apollo Global Management, Inc.",NYSE,70708043160.0,122.28,Marc Jeffrey Rowan,82125582724.0
NSC,Norfolk Southern Corporation,NYSE,70093422004.0,312.12,Mark R. George,80461256000.0
SATA,"Strive, Inc. Variable Rate Series A Perpetual Preferred Stock",NASDAQ,69887464698.0,100.02,Matthew Ryan Cole,146487488.0
CTAS,Cintas Corporation,NASDAQ,69595133650.0,173.95,Todd Schneider,93790053000.0
PSX,Phillips 66,NYSE,69566469713.0,173.49,Mark E. Lashier,74157272320.0
GM,General Motors Company,NYSE,69262028160.0,76.62,Mary T. Barra,184101186080.0
BE,Bloom Energy Corporation,NYSE,69230258643.0,287.97,K. R. Sridhar,21426373780.0
USB-PP,U.S. Bancorp,NYSE,69114715255.0,22.03,Gunjan Kedia,
RCL,Royal Caribbean Cruises Ltd.,NYSE,68716896023.0,254.01,Jason T. Liberty,97397320000.0
BKR,Baker Hughes Company,NASDAQ,68242799170.0,68.81,Lorenzo Simonelli,48422520000.0
MS-PA,Morgan Stanley,NYSE,68029970941.0,19.32,Edward N. Pick,642764630000.0
ET,Energy Transfer LP,NYSE,67980525600.0,19.76,Marshall S. McCrea,130524499999.0
WBD,"Warner Bros. Discovery, Inc.",NASDAQ,67808084922.0,27.05,David Zaslav,99330500000.0
CL,Colgate-Palmolive Company,NYSE,67786488798.0,84.49,Noel R. Wallace,70603474000.0
USB-PS,"U.S. Bancorp Depositary Shares,",NYSE,67490169544.0,17.76,Gunjan Kedia,114010800000.0
APD,"Air Products and Chemicals, Inc.",NYSE,67353440000.0,302.5,Eduardo F. Menezes,77312216000.0
CIEN,Ciena Corporation,NYSE,67219401539.0,475.39,Gary Smith,27500870320.0
USB-PH,U.S. Bancorp,NYSE,67196922361.0,18.76,Gunjan Kedia,114010800000.0
MS-PI,Morgan Stanley,NYSE,66857666049.0,25.0699,Edward N. Pick,
DLR,"Digital Realty Trust, Inc.",NYSE,66853734400.0,194.56,Andrew Power,73872383030.0
MS-PK,Morgan Stanley,NYSE,65727768116.0,24.18,Edward N. Pick,642764630000.0
NKE,"NIKE, Inc.",NYSE,65625088667.0,44.39,Elliott J. Hill,93524091000.0
MS-PF,Morgan Stanley,NYSE,65221533688.0,25.2215,Edward N. Pick,
SPG,"Simon Property Group, Inc.",NYSE,64997272817.0,200.09,Eli Simon,88712758980.0
TDG,TransDigm Group Incorporated,NYSE,64534599383.0,1142.74,Michael J. Lisman,103930764000.0
RSG,"Republic Services, Inc.",NYSE,64358664356.0,208.31,Jon Vander Ark,66620967000.0
MS-PE,Morgan Stanley,NYSE,64280994641.0,25.34,Edward N. Pick,
TRV,"The Travelers Companies, Inc.",NYSE,64271858459.0,302.25,Alan David Schnitzer,73456452000.0
HOOD,"Robinhood Markets, Inc.",NASDAQ,64139255773.0,71.2,Vladimir Tenev,111636910749.0
FTNT,"Fortinet, Inc.",NASDAQ,63714855640.0,86.11,Ken Xie,57510571000.0
TFC,Truist Financial Corporation,NYSE,63103771350.0,50.65,William Henry Rogers Jr.,95790850610.0
PCAR,PACCAR Inc,NASDAQ,62172710820.0,118.14,R. Preston Feight,48348560000.0
RCB,Ready Capital Corporation,NYSE,61311055670.0,25.34,,
LITE,Lumentum Holdings Inc.,NASDAQ,61284048000.0,858.32,Michael E. Hurlston,8625250000.0
FIX,"Comfort Systems USA, Inc.",NYSE,60768886752.0,1726.27,Brian E. Lane,32794918210.0
COR,"Cencora, Inc.",NYSE,60582690295.0,311.43,Robert Mauch,66927824599.0
SRE,Sempra,NYSE,60524727061.0,92.64,Jeffrey Walker Martin,93911618130.0
OXY,Occidental Petroleum Corporation,NYSE,60255388200.0,60.76,Vicki A. Hollub,62080560000.0
LHX,"L3Harris Technologies, Inc.",NYSE,60032986653.0,321.4,Christopher E. Kubasik,66433552000.0
CRWV,"CoreWeave, Inc. Class A Common Stock",NASDAQ,60029034172.0,114.19,Michael N. Intrator,42361350000.0
AFL,Aflac Incorporated,NYSE,59869532524.0,116.21,Daniel Paul Amos,60612613500.0
WFC-PZ,Wells Fargo & Company,NYSE,59693778113.0,18.94,Charles W. Scharf,547804120000.0
URI,"United Rentals, Inc.",NYSE,59647707258.0,952.13,Matthew J. Flannery,68138208000.0
WFC-PA,Wells Fargo & Company,NYSE,59536191582.0,18.89,Charles W. Scharf,547804120000.0
CTA-PB,"EIDP, Inc. USD 4.50 Cum Pfd Registered Shs",NYSE,59401321795.0,68.45,Charles Victor Magro,
O,Realty Income Corporation,NYSE,59014800626.0,63.29,Sumit Roy,83421234083.0
UI,Ubiquiti Inc.,NYSE,58765690974.0,971.0,Robert J. Pera,25044281000.0
AZO,"AutoZone, Inc.",NYSE,58057063879.0,3523.56,Philip Daniele,82506113170.0
TGT,Target Corporation,NYSE,57906644165.0,127.87,Michael J. Fiddelke,62695927000.0
FANG,"Diamondback Energy, Inc.",NASDAQ,57758927483.0,205.32,Matthew Kaes Van't Hof,57840246070.0
KEYS,"Keysight Technologies, Inc.",NYSE,57532396380.0,335.46,Satish C. Dhanasekaran,32750080000.0
LNG,"Cheniere Energy, Inc.",NYSE,57205595510.0,272.23,Jack A. Fusco,69732483000.0
MPLX,MPLX Lp,NYSE,56364144790.0,55.52,Maryann T. Mannen,78409030000.0
OKE,"ONEOK, Inc.",NYSE,56274341856.0,89.32,Pierce H. Norton,79043000000.0
SOMN,The Southern Company,NYSE,55845497408.0,50.63,Christopher C. Womack,
SPG-PJ,"Simon Property Group, Inc.",NYSE,55650526506.0,53.885,Eli Simon,
D,"Dominion Energy, Inc.",NYSE,54935294813.0,62.5,Robert Blue,98732719000.0
ALL,The Allstate Corporation,NYSE,54829405157.0,212.33,Thomas Joseph Wilson,61201595000.0
AJG,Arthur J. Gallagher & Co.,NYSE,54456351000.0,211.81,J. Patrick Gallagher Jr.,79978637779.0
WFC-PD,Wells Fargo & Company,NYSE,54326380852.0,17.237,Charles W. Scharf,
GWW,"W.W. Grainger, Inc.",NYSE,54183857300.0,1144.81,Donald G. Macpherson,50911495000.0
ALL-PB,The Allstate Corporation,NYSE,53792913109.0,25.81,Thomas Joseph Wilson II,
TRGP,Targa Resources Corp.,NYSE,53768042502.0,250.14,Matthew J. Meloy,57047700000.0
JPM-PJ,JPMorgan Chase & Co.,NYSE,53751807900.0,19.93,James Dimon,1497614914000.0
DLR-PK,"Digital Realty Trust, Inc.",NYSE,53749891625.0,22.69,Andrew Power,
CTVA,"Corteva, Inc.",NYSE,53285605090.0,79.37,Charles Victor Magro,43181634165.0
BDX,"Becton, Dickinson and Company",NYSE,52645101126.0,145.31,Thomas E. Polen Jr.,51485276160.0
ETR,Entergy Corporation,NYSE,52495769246.0,114.67,Andrew S. Marsh,71745824928.0
JPM-PL,JPMorgan Chase & Co.,NYSE,52295411700.0,19.39,James Dimon,
AME,"AMETEK, Inc.",NYSE,52197139306.0,227.87,David A. Zapico,49139458120.0
VST,Vistra Corp.,NYSE,52065495617.0,153.79,James A. Burke,74398934000.0
NDAQ,"Nasdaq, Inc.",NASDAQ,51881883880.0,91.27,Adena T. Friedman,64546091000.0
PSA,Public Storage,NYSE,51626249029.0,294.09,H. Thomas Boyle,55464282500.0
ALL-PH,The Allstate Corporation,NYSE,51621416761.0,20.75,Thomas Joseph Wilson,
CARR,Carrier Global Corporation,NYSE,51579654103.0,61.74,David L. Gitlin,55457328000.0
JPM-PK,JPMorgan Chase & Co.,NYSE,51513273000.0,19.1,James Dimon,1497614914000.0
MET,"MetLife, Inc.",NYSE,51486183840.0,78.96,Michel Abbas Khalaf,50642705580.0
EA,Electronic Arts Inc.,NASDAQ,50718920014.0,202.67,Andrew Wilson,37946240000.0
NUE,Nucor Corporation,NYSE,50654882250.0,222.39,Leon J. Topalian,42490477000.0
FAST,Fastenal Company,NASDAQ,50180828400.0,43.71,Daniel L. Florness,46218288000.0
SCHW-PD,The Charles Schwab Corporation,NYSE,50137619407.0,24.8001,Richard Andrew Wurster,
ADSK,"Autodesk, Inc.",NASDAQ,49768570000.0,235.87,Andrew Anagnost,54346310000.0
XEL,Xcel Energy Inc.,NASDAQ,49196448840.0,78.82,Robert C. Frenzel,77862820000.0
NEE-PN,"NextEra Energy, Inc. Series N J",NYSE,49057152900.0,23.83,John W. Ketchum,260511920000.0
SNOW,Snowflake Inc.,NYSE,48819754000.0,141.22,Sridhar Ramaswamy,64947852099.0
